Tuned;Model;Nazeerabad;HPP1;HPP2;HPP3
No;LGB;5.37;13.86;-6.7;8.16
No;LSTM;12.39;8.44;-9.54;8.6
No;RF;33.27;24.38;25.63;25.75
Yes;LGB;5.45;13.18;-3.19;9.17
Yes;LSTM;8.98;9.67;-4.86;7.85
Yes;RF;35.72;22.05;25.78;25.9
