Tuned;Model;Nazeerabad;HPP1;HPP2;HPP3
No;LGB;11.9;12.88;-2.19;9.47
No;LSTM;27.15;9.2;-8.33;5.79
No;RF;44.84;23.76;25.7;24.18
Yes;LGB;7.09;11.99;-0.31;9.99
Yes;LSTM;26.58;10.1;-5.02;7.08
Yes;RF;44.39;24.26;21.42;24.43
