Tuned;Model;Nazeerabad;HPP1;HPP2;HPP3
No;LGB;7.68;16.01;-4.01;9.35
No;LSTM;22.72;8.98;-12.29;6.91
No;RF;42.04;28.23;28.0;31.84
Yes;LGB;7.41;13.8;-0.81;10.21
Yes;LSTM;21.32;9.71;-7.32;5.83
Yes;RF;41.97;28.32;22.13;31.75
