Method;Model;Nazeerabad;HPP1;HPP2;HPP3
Wind + Solar;LGB;0.546;0.583;0.494;0.601
Wind + Solar;LSTM;0.295;0.49;0.508;0.519
Wind + Solar;RF;0.308;0.573;0.47;0.655
Aggregated;LGB;0.536;0.579;0.473;0.606
Aggregated;LSTM;0.268;0.475;0.365;0.482
Aggregated;RF;0.367;0.577;0.497;0.617
