Method;Model;Nazeerabad;HPP1;HPP2;HPP3
Wind;LGB;7.41;13.8;-0.81;10.21
Wind;LSTM;21.32;9.71;-7.32;5.83
Wind;RF;41.97;28.32;22.13;31.75
Wind;PST;-12.52;-109.82;-58.99;-77.65
Solar;LGB;-2.73;7.12;6.5;6.36
Solar;LSTM;18.55;3.49;1.81;5.0
Solar;RF;37.46;13.78;19.36;13.92
Solar;PST;17.82;-45.46;-31.54;-48.1
