;max_std_wind;mean_std_wind;max_std_solar;mean_std_solar;max_std_agr;mean_std_agr;max_std_agr_sum;mean_std_agr_sum
300;0.24363500182917563;0.23246846188380985;0.19742968905305497;0.08368018474242951;0.12356148780106899;0.10330356088040267;0.13441914726893833;0.1124936778761787
400;0.24366070820425015;0.23250599503342692;0.19747047737185;0.08369444087240112;0.12363769457632247;0.1032933808449334;0.13437798588757607;0.11250416273346049
500;0.24370319325276887;0.2324766136211359;0.1975386531250524;0.08369849471063014;0.1237117808684238;0.1032843784238509;0.1343928217569461;0.11248589264205579
