;max_std_wind;mean_std_wind;max_std_solar;mean_std_solar;max_std_agr;mean_std_agr;max_std_agr_sum;mean_std_agr_sum
10;0.24283512779758867;0.23205345233783095;0.19657332796059523;0.08362960824337634;0.12322772038890707;0.10278326815317602;0.13377293235419208;0.1121674927086005
20;0.242662244179729;0.23157093536905984;0.1990450981581665;0.08402107008914979;0.12353481049919213;0.10303941183948108;0.13471898953386965;0.11229373343951726
30;0.24288687920486476;0.23192158378393113;0.19818815608351464;0.08387954504954691;0.1240217497406786;0.10327198575094793;0.134442306647175;0.11236678556247437
40;0.24302851528428812;0.2320725868420999;0.19784041480132827;0.08375250034053823;0.12400466708404322;0.1032852760228875;0.13439348531413908;0.11236965472449138
50;0.24305865116580502;0.23225001541947954;0.19751621497301544;0.08366327169784016;0.12391626918154175;0.10328630875340077;0.13442367377016085;0.11240340987293167
60;0.24313525089214671;0.23224250496394602;0.1978180620077018;0.08370748065557061;0.12366493067321742;0.10322092662110686;0.13457470931842447;0.11240120849432278
70;0.24342613502952765;0.2323637056123101;0.19789446472573208;0.08365114685382218;0.12363059431980365;0.10317416027335786;0.13460867129285273;0.11244323958463198
80;0.243524571623265;0.23236717648431304;0.19745341385978749;0.08358679900606715;0.1234512057070925;0.10317312037865678;0.1345244356788573;0.11242323956985141
90;0.24348367123491368;0.23232128901399465;0.19761029171438643;0.08360315161131542;0.12332538911167332;0.10312963269097941;0.1345802655012765;0.11243826671797363
100;0.24356273070102308;0.23239829002358223;0.19755880480871751;0.08362428153141525;0.12320986514700885;0.10310513302533969;0.13457768854442786;0.11244893973783632
110;0.24353714103121632;0.2323912158453072;0.1974974862540058;0.08362271750015378;0.12337775395503991;0.10316157138803388;0.13454143367278307;0.11244823182437247
120;0.24356999834291815;0.23241293800615548;0.1974629362249874;0.08363585907687125;0.12346080416287919;0.10321890277922434;0.13447622938621798;0.11245763340043213
130;0.2435461810885851;0.2323684648322918;0.1975233201909639;0.0836582641630807;0.1234472617856452;0.10323357132655091;0.1344796740576563;0.11244809355229901
140;0.24354926176527023;0.2323714500289876;0.1974766775001972;0.08366723499743743;0.1234234262549992;0.10324466887800399;0.1344463284288573;0.1124526211199708
150;0.24347479844885833;0.2323179880999351;0.19759510676686942;0.08368101051377941;0.12346925115374711;0.1032742729892866;0.13444217081365775;0.11244111353821064
160;0.24352219130372468;0.23238836571816743;0.19754679871846345;0.08366562306365888;0.12350473964956478;0.10326961545394675;0.13441631502128018;0.11245618645566817
170;0.24362786245469567;0.2324677901843241;0.19749769509742507;0.08366238271212094;0.12345552281500119;0.10327608566980523;0.13441438324420094;0.11248613245986423
180;0.24359891915800133;0.232478167341074;0.19751192938004147;0.08366089562246982;0.12349084383125966;0.10327653403140025;0.1344188442983736;0.11248964529813495
190;0.2435956273518636;0.23248338674341854;0.19752859321967325;0.08367350323071533;0.12347721135559302;0.10327336218027187;0.1344390675861762;0.11249485838343509
200;0.24359012214301412;0.23246064578387857;0.1975921303145451;0.08368375643522917;0.1234574122797498;0.10325556713073707;0.13444129538955282;0.11249320354682146
